employee_id,department,position,month,productivity_score,quality_score,attendance_rate,teamwork_score,initiative_score,communication_score,problem_solving_score,adaptability_score,leadership_score,projects_completed,training_hours,overtime_hours,client_satisfaction,overall_performance_score
EMP0001,Finance,CFO,2023-01,54.744390645654775,57.60431550256895,77.80646705902066,74.71968083504608,47.56825345003925,57.37807499633951,61.31060361642899,74.84787790684089,33.44636537650152,1,7.330153744144223,0.9312171205618611,58.20466758703694,57.7024452911775
EMP0001,Finance,CFO,2023-02,67.64945679337703,70.5093816502912,90.71153320674291,87.62474698276833,60.4733195977615,70.28314114406176,74.21566976415124,87.75294405456314,46.35143152422377,1,1.8663039225319151,0.039560136471181444,71.10973373475919,70.60751143889975
EMP0001,Finance,CFO,2023-03,64.09447215442451,66.95439701133868,87.1565485677904,84.06976234381581,56.91833495880898,66.72815650510924,70.66068512519873,84.19795941561063,42.796446885271244,0,0.3736652123082269,0.10809665361391717,67.55474909580667,67.05252679994723
EMP0001,Finance,CFO,2023-04,64.00817901394632,66.8681038708605,87.0702554273122,83.98346920333762,56.83204181833079,66.64186336463105,70.57439198472053,84.11166627513244,42.710153744793054,0,4.024534610213335,0.49287489081323216,67.46845595532848,66.96623365946904
EMP0001,Finance,CFO,2023-05,60.13854066885723,62.99846552577141,83.20061708222312,80.11383085824853,52.96240347324171,62.77222501954196,66.70475363963145,80.24202793004335,38.840515399703975,0,2.9171553297106145,0.12533128218959166,63.598817610239394,63.09659531437995
EMP0001,Finance,CFO,2023-06,63.34664865877176,66.20657351568595,86.40872507213766,83.32193884816307,56.17051146315624,65.9803330094565,69.91286162954599,83.45013591995789,42.048623389618506,0,3.4004153445705594,0.15328927488985467,66.80692560015393,66.30470330429448
EMP0001,Finance,CFO,2023-07,60.52105055360298,63.38097541051716,83.58312696696888,80.49634074299429,53.34491335798746,63.154734904287714,67.0872635243772,80.62453781478911,39.223025284449726,0,0.0,1.882313316170079,63.981327494985145,63.4791051991257
EMP0001,Finance,CFO,2023-08,66.53626534641575,69.39619020332992,89.59834175978163,86.51155553580705,59.36012815080022,69.16994969710048,73.10247831718996,86.63975260760186,45.23824007726249,0,0.11041530960274204,3.3770786833465,69.99654228779791,69.49431999193847
EMP0001,Finance,CFO,2023-09,59.51900974696866,62.37893460388284,82.58108616033455,79.49429993635997,52.34287255135314,62.152694097653395,66.08522271774288,79.62249700815478,38.220984477815406,0,2.954760598048952,0.31032111647562477,62.979286688350825,62.477064392491386
EMP0001,Finance,CFO,2023-10,59.206470374640894,62.06639523155507,82.26854678800677,79.18176056403219,52.03033317902537,61.840154725325625,65.7726833454151,79.309957635827,37.90844510548764,0,3.5340506655535835,1.8606804825002556,62.666747316023056,62.164525020163616
EMP0001,Finance,CFO,2023-11,57.78781491608561,60.647739772999785,80.8498913294515,77.76310510547691,50.611677720470084,60.42149926677034,64.35402788685983,77.89130217727173,36.48978964693235,0,0.038897607904352594,1.5412736796334374,61.24809185746777,60.74586956160833
EMP0001,Finance,CFO,2023-12,64.62078474584732,67.4807096027615,87.6828611592132,84.59607493523862,57.4446475502318,67.25446909653205,71.18699771662153,84.72427200703343,43.32275947669407,0,4.238510556708921,0.6828463361678793,68.08106168722948,67.57883939137004
EMP0001,Finance,CFO,2024-01,65.59262062368143,68.4525454805956,88.65469703704731,85.56791081307273,58.4164834280659,68.22630497436616,72.15883359445564,85.69610788486754,44.29459535452817,0,1.1234858581910805,0.36388880791323075,69.05289756506359,68.55067526920415
EMP0002,Product Management,Product Manager,2023-01,91.0561790329881,74.14881580816365,94.28248499720956,70.78683652730444,60.502724937770765,77.73903635730886,48.05914467732513,65.75058931785298,73.72604608757516,0,6.685069212640716,2.0597841258482124,79.64916680702026,70.22117159328614
EMP0002,Product Management,Product Manager,2023-02,87.72878370590851,70.82142048108406,90.95508967013,67.45944120022487,57.175329610691186,74.41164103022929,44.73174935024555,62.4231939907734,70.39865076049558,0,7.82501466605012,1.449613527284292,76.32177147994068,66.89377626620656
EMP0002,Product Management,Product Manager,2023-03,93.97745705299451,77.07009382817006,97.20376301721599,73.70811454731087,63.424002957777184,80.66031437731529,50.98042269733155,68.6718673378594,76.64732410758158,1,6.576802890562684,1.674747635219426,82.57044482702668,73.14244961329256
EMP0002,Product Management,Product Manager,2023-04,80.96169337958393,64.05433015475948,84.18799934380542,60.6923508739003,50.408239284366616,67.64455070390471,37.96465902392098,55.65610366444883,63.631560434171014,0,4.011599527615741,2.357050760100547,69.5546811536161,60.12668593988199
EMP0002,Product Management,Product Manager,2023-05,88.09585004473313,71.18848681990868,91.32215600895461,67.82650753904949,57.5423959495158,74.7787073690539,45.098815689070165,62.79026032959801,70.7657170993202,1,4.635819208548988,1.6970225374069676,76.6888378187653,67.26084260503117
EMP0002,Product Management,Product Manager,2023-06,90.65416599920145,73.746802774377,93.88047196342293,70.38482349351781,60.10071190398412,77.33702332352223,47.657131643538484,65.34857628406634,73.32403305378853,3,4.86020981940377,2.8729693508683987,79.24715377323362,69.8191585594995
EMP0002,Product Management,Product Manager,2023-07,79.10325840465808,62.195895179833634,82.32956436887957,58.833915898974446,48.54980430944076,65.78611572897887,36.106224048995124,53.79766868952297,61.77312545924516,1,2.7809547677865893,1.698607186182452,67.69624617869025,58.268250964956124
